Team,Season,home_goals,away_goals
Kilmarnock,2011/2012,2,0
Heart of Midlothian,2011/2012,1,0
Dunfermline Athletic,2011/2012,2,0
Rangers,2011/2012,2,1
Hibernian,2011/2012,2,0
Kilmarnock,2011/2012,1,1
Aberdeen,2011/2012,1,0
St. Johnstone FC,2011/2012,0,3
Inverness Caledonian Thistle,2011/2012,0,1
St. Mirren,2011/2012,1,1
Dundee United,2011/2012,0,2
Motherwell,2011/2012,2,0
Celtic,2011/2012,3,2
Heart of Midlothian,2011/2012,2,1
St. Johnstone FC,2011/2012,2,0
Dunfermline Athletic,2011/2012,3,0
Aberdeen,2011/2012,3,0
Hibernian,2011/2012,2,3
Rangers,2011/2012,1,2
Kilmarnock,2011/2012,4,2
Dundee United,2011/2012,3,1
Heart of Midlothian,2011/2012,1,2
Motherwell,2011/2012,1,1
Celtic,2011/2012,0,6
St. Mirren,2011/2012,3,1
Inverness Caledonian Thistle,2011/2012,0,0
Rangers,2011/2012,0,3
Dundee United,2011/2012,0,2
Celtic,2011/2012,0,3
Aberdeen,2011/2012,0,2
Dunfermline Athletic,2011/2012,4,4
Kilmarnock,2011/2012,0,1
Heart of Midlothian,2011/2012,2,2
St. Johnstone FC,2011/2012,5,1
Aberdeen,2011/2012,3,0
Inverness Caledonian Thistle,2011/2012,4,3
Rangers,2011/2012,3,0
Hibernian,2011/2012,1,0
Motherwell,2011/2012,0,1
Dundee United,2011/2012,5,0
Hibernian,2011/2012,1,2
Dunfermline Athletic,2011/2012,0,0
St. Mirren,2011/2012,0,2
St. Johnstone FC,2011/2012,1,0
Motherwell,2011/2012,0,0
Aberdeen,2011/2012,1,1
Inverness Caledonian Thistle,2011/2012,0,1
Celtic,2011/2012,1,0
St. Johnstone FC,2011/2012,2,0
Dunfermline Athletic,2011/2012,4,0
St. Mirren,2011/2012,0,0
Kilmarnock,2011/2012,1,2
Hibernian,2011/2012,2,0
Heart of Midlothian,2011/2012,5,0
Dundee United,2011/2012,0,2
Rangers,2011/2012,0,4
Dundee United,2011/2012,5,1
Aberdeen,2011/2012,3,0
Rangers,2011/2012,0,2
Hibernian,2011/2012,4,1
Dunfermline Athletic,2011/2012,0,1
Motherwell,2011/2012,0,1
Inverness Caledonian Thistle,2011/2012,2,1
Dunfermline Athletic,2011/2012,0,1
St. Mirren,2011/2012,1,2
Heart of Midlothian,2011/2012,0,0
Rangers,2011/2012,0,3
St. Johnstone FC,2011/2012,0,1
Motherwell,2011/2012,2,4
Hibernian,2011/2012,2,0
Kilmarnock,2011/2012,2,1
Aberdeen,2011/2012,2,0
Dundee United,2011/2012,3,3
Celtic,2011/2012,0,2
Motherwell,2011/2012,4,0
Rangers,2011/2012,0,1
Heart of Midlothian,2011/2012,1,1
Dunfermline Athletic,2011/2012,3,2
St. Johnstone FC,2011/2012,0,0
Aberdeen,2011/2012,0,0
Kilmarnock,2011/2012,2,2
Inverness Caledonian Thistle,2011/2012,3,1
Hibernian,2011/2012,2,2
St. Mirren,2011/2012,2,0
St. Johnstone FC,2011/2012,0,3
Celtic,2011/2012,4,2
Inverness Caledonian Thistle,2011/2012,2,0
Rangers,2011/2012,0,4
Dundee United,2011/2012,3,3
Aberdeen,2011/2012,1,0
Heart of Midlothian,2011/2012,2,0
Kilmarnock,2011/2012,3,0
Aberdeen,2012/2013,1,0
St. Johnstone FC,2012/2013,2,0
Dundee FC,2012/2013,0,0
Motherwell,2012/2013,0,0
Inverness Caledonian Thistle,2012/2013,2,2
Hibernian,2012/2013,3,0
Inverness Caledonian Thistle,2012/2013,1,4
Aberdeen,2012/2013,1,1
Motherwell,2012/2013,1,0
Hibernian,2012/2013,3,2
Kilmarnock,2012/2013,2,1
Celtic,2012/2013,0,5
Dundee FC,2012/2013,2,0
Kilmarnock,2012/2013,0,2
Ross County FC,2012/2013,2,2
St. Johnstone FC,2012/2013,1,1
Hibernian,2012/2013,0,4
Dundee United,2012/2013,0,1
Heart of Midlothian,2012/2013,1,0
Celtic,2012/2013,2,2
St. Mirren,2012/2013,2,1
Inverness Caledonian Thistle,2012/2013,1,2
Aberdeen,2012/2013,2,1
Motherwell,2012/2013,1,3
St. Johnstone FC,2012/2013,1,1
Dundee United,2012/2013,2,1
Heart of Midlothian,2012/2013,1,1
Ross County FC,2012/2013,3,0
Dundee FC,2012/2013,1,1
Aberdeen,2012/2013,1,4
Celtic,2012/2013,0,2
Hibernian,2012/2013,3,1
Kilmarnock,2012/2013,3,3
St. Mirren,2012/2013,1,0
Motherwell,2012/2013,1,5
Ross County FC,2012/2013,1,1
Inverness Caledonian Thistle,2012/2013,0,1
Aberdeen,2012/2013,0,1
St. Johnstone FC,2012/2013,1,2
Heart of Midlothian,2012/2013,0,0
Dundee United,2012/2013,1,2
Dundee FC,2012/2013,3,1
Inverness Caledonian Thistle,2012/2013,2,3
Kilmarnock,2012/2013,0,0
Motherwell,2012/2013,1,2
Celtic,2012/2013,0,4
St. Mirren,2012/2013,0,0
Hibernian,2012/2013,0,1
Dundee United,2012/2013,0,3
Aberdeen,2012/2013,2,0
Hibernian,2012/2013,3,0
Celtic,2012/2013,1,3
Ross County FC,2012/2013,3,2
St. Johnstone FC,2012/2013,1,1
Kilmarnock,2012/2013,0,2
St. Mirren,2012/2013,2,0
Inverness Caledonian Thistle,2012/2013,4,4
Motherwell,2012/2013,2,3
Dundee FC,2012/2013,1,1
Heart of Midlothian,2012/2013,2,2
St. Johnstone FC,2012/2013,2,0
Ross County FC,2012/2013,4,0
Dundee United,2012/2013,2,1
Dundee FC,2012/2013,4,1
Hibernian,2012/2013,1,1
Motherwell,2012/2013,2,1
Ross County FC,2012/2013,0,0
Dundee United,2012/2013,4,0
St. Mirren,2012/2013,0,2
Heart of Midlothian,2012/2013,1,1
Kilmarnock,2012/2013,1,1
St. Johnstone FC,2012/2013,1,1
Celtic,2012/2013,0,2
St. Johnstone FC,2012/2013,1,1
Ross County FC,2012/2013,0,1
St. Mirren,2012/2013,2,2
Heart of Midlothian,2012/2013,1,0
Aberdeen,2012/2013,4,1
Aberdeen,2012/2013,1,3
St. Mirren,2012/2013,3,4
Celtic,2012/2013,1,0
Kilmarnock,2012/2013,2,2
Heart of Midlothian,2012/2013,2,2
Inverness Caledonian Thistle,2012/2013,0,0
Dundee United,2012/2013,2,2
Motherwell,2012/2013,1,0
Hibernian,2012/2013,0,0
Inverness Caledonian Thistle,2012/2013,0,0
Dundee FC,2012/2013,1,0
Kilmarnock,2012/2013,1,1
Heart of Midlothian,2012/2013,4,1
Dundee FC,2012/2013,1,1
Aberdeen,2012/2013,3,0
Dundee United,2012/2013,2,3
St. Johnstone FC,2012/2013,3,2
Ross County FC,2012/2013,1,4
Hibernian,2012/2013,0,0
St. Mirren,2012/2013,2,1
Ross County FC,2012/2013,1,1
Motherwell,2012/2013,1,2
Kilmarnock,2012/2013,1,1
Celtic,2012/2013,1,1
Kilmarnock,2012/2013,4,1
Dundee FC,2012/2013,1,0
Dundee United,2012/2013,0,1
Hibernian,2012/2013,1,0
Aberdeen,2012/2013,3,1
Inverness Caledonian Thistle,2012/2013,2,1
St. Mirren,2012/2013,0,0
Ross County FC,2012/2013,0,2
Heart of Midlothian,2012/2013,3,1
St. Johnstone FC,2012/2013,1,3
Celtic,2012/2013,1,3
Motherwell,2012/2013,2,0
Dundee FC,2012/2013,1,0
Dundee United,2012/2013,6,2
Kilmarnock,2012/2013,0,3
Inverness Caledonian Thistle,2012/2013,3,0
St. Johnstone FC,2012/2013,1,0
Hibernian,2012/2013,0,1
Dundee FC,2012/2013,5,0
Hibernian,2012/2013,2,2
Inverness Caledonian Thistle,2012/2013,2,3
Aberdeen,2012/2013,1,1
Motherwell,2012/2013,3,0
St. Mirren,2012/2013,1,0
Ross County FC,2012/2013,0,1
St. Johnstone FC,2012/2013,2,2
Kilmarnock,2012/2013,2,2
Dundee United,2012/2013,0,0
Celtic,2012/2013,2,1
Heart of Midlothian,2012/2013,2,0
Dundee FC,2012/2013,3,0
Inverness Caledonian Thistle,2012/2013,2,2
Motherwell,2012/2013,1,2
Celtic,2012/2013,1,1
Aberdeen,2012/2013,1,2
Hibernian,2012/2013,1,2
Motherwell,2012/2013,0,0
Inverness Caledonian Thistle,2012/2013,1,1
Heart of Midlothian,2012/2013,0,0
Celtic,2012/2013,3,2
Kilmarnock,2012/2013,2,0
Dundee United,2012/2013,0,0
Aberdeen,2012/2013,4,3
Dundee FC,2012/2013,1,1
St. Johnstone FC,2012/2013,2,0
Ross County FC,2012/2013,2,1
St. Mirren,2012/2013,1,1
Hibernian,2012/2013,4,1
Heart of Midlothian,2012/2013,2,0
Motherwell,2012/2013,0,3
Inverness Caledonian Thistle,2012/2013,1,2
Kilmarnock,2012/2013,0,1
Dundee United,2012/2013,1,1
Celtic,2012/2013,1,1
Hibernian,2012/2013,3,0
Aberdeen,2012/2013,1,0
Ross County FC,2012/2013,4,2
St. Johnstone FC,2012/2013,0,0
Dundee FC,2012/2013,1,2
St. Mirren,2012/2013,2,2
Motherwell,2012/2013,1,3
Heart of Midlothian,2012/2013,0,1
Dundee FC,2012/2013,1,2
Inverness Caledonian Thistle,2012/2013,4,1
Ross County FC,2012/2013,2,2
Aberdeen,2012/2013,0,0
Dundee United,2012/2013,1,0
Kilmarnock,2012/2013,1,0
Heart of Midlothian,2012/2013,1,0
St. Mirren,2012/2013,3,3
Inverness Caledonian Thistle,2012/2013,1,0
Celtic,2012/2013,3,1
St. Johnstone FC,2012/2013,0,1
St. Mirren,2012/2013,3,0
Motherwell,2012/2013,4,3
Aberdeen,2012/2013,1,1
Hibernian,2012/2013,1,3
Celtic,2012/2013,1,1
St. Johnstone FC,2012/2013,4,0
Kilmarnock,2012/2013,2,3
Dundee United,2012/2013,1,2
Aberdeen,2012/2013,0,0
Hibernian,2012/2013,1,2
Ross County FC,2012/2013,2,0
Heart of Midlothian,2012/2013,1,1
Dundee FC,2012/2013,1,0
St. Mirren,2012/2013,1,3
Celtic,2012/2013,0,4
Inverness Caledonian Thistle,2012/2013,1,0
Motherwell,2012/2013,2,0
Ross County FC,2012/2013,0,1
St. Johnstone FC,2012/2013,2,0
Celtic,2012/2013,2,4
Dundee United,2012/2013,3,1
St. Mirren,2012/2013,1,1
Heart of Midlothian,2012/2013,0,0
St. Mirren,2012/2013,0,0
Hibernian,2012/2013,2,2
Inverness Caledonian Thistle,2012/2013,4,1
Kilmarnock,2012/2013,0,0
Dundee United,2012/2013,0,0
Dundee FC,2012/2013,0,1
Motherwell,2012/2013,1,2
Ross County FC,2012/2013,0,0
Kilmarnock,2012/2013,2,1
Aberdeen,2012/2013,1,1
Celtic,2012/2013,2,1
Heart of Midlothian,2012/2013,2,0
Motherwell,2012/2013,3,3
Dundee FC,2012/2013,2,0
Heart of Midlothian,2012/2013,0,3
Inverness Caledonian Thistle,2012/2013,2,2
St. Mirren,2012/2013,3,1
St. Johnstone FC,2012/2013,1,2
Hibernian,2012/2013,2,1
St. Johnstone FC,2012/2013,1,3
Kilmarnock,2012/2013,1,3
Dundee United,2012/2013,4,0
Celtic,2012/2013,0,2
Ross County FC,2012/2013,5,4
Heart of Midlothian,2012/2013,1,0
Dundee FC,2012/2013,3,0
Ross County FC,2012/2013,3,1
Aberdeen,2012/2013,1,3
Dundee United,2012/2013,0,1
St. Mirren,2012/2013,2,1
Kilmarnock,2013/2014,2,1
Ross County FC,2013/2014,2,1
St. Mirren,2013/2014,3,0
Dundee United,2013/2014,0,0
Heart of Midlothian,2013/2014,1,0
Motherwell,2013/2014,0,1
Dundee United,2013/2014,1,0
Celtic,2013/2014,1,1
Partick Thistle F.C.,2013/2014,1,2
Ross County FC,2013/2014,2,0
Heart of Midlothian,2013/2014,2,1
St. Johnstone FC,2013/2014,4,3
St. Mirren,2013/2014,4,0
Aberdeen,2013/2014,0,2
Heart of Midlothian,2013/2014,2,0
Celtic,2013/2014,1,2
Inverness Caledonian Thistle,2013/2014,0,3
Motherwell,2013/2014,2,0
Partick Thistle F.C.,2013/2014,4,0
Dundee United,2013/2014,1,1
St. Johnstone FC,2013/2014,0,2
Kilmarnock,2013/2014,2,1
Hibernian,2013/2014,1,0
Ross County FC,2013/2014,2,1
Heart of Midlothian,2013/2014,1,3
Inverness Caledonian Thistle,2013/2014,0,2
Dundee United,2013/2014,0,4
St. Mirren,2013/2014,0,3
Celtic,2013/2014,1,4
Kilmarnock,2013/2014,3,1
Aberdeen,2013/2014,3,1
Partick Thistle F.C.,2013/2014,4,1
Ross County FC,2013/2014,2,2
St. Johnstone FC,2013/2014,1,0
Motherwell,2013/2014,0,2
Hibernian,2013/2014,0,0
Heart of Midlothian,2013/2014,4,1
Partick Thistle F.C.,2013/2014,1,1
Celtic,2013/2014,0,5
Kilmarnock,2013/2014,1,2
Aberdeen,2013/2014,0,2
Inverness Caledonian Thistle,2013/2014,0,0
St. Mirren,2013/2014,2,0
Hibernian,2013/2014,1,0
Inverness Caledonian Thistle,2013/2014,0,2
Dundee United,2013/2014,1,4
St. Johnstone FC,2013/2014,0,1
Motherwell,2013/2014,1,2
Heart of Midlothian,2013/2014,2,0
Ross County FC,2013/2014,1,0
St. Johnstone FC,2013/2014,0,0
Aberdeen,2013/2014,3,4
Partick Thistle F.C.,2013/2014,2,1
St. Mirren,2013/2014,3,0
Motherwell,2013/2014,0,1
Kilmarnock,2013/2014,0,4
Inverness Caledonian Thistle,2013/2014,0,0
Hibernian,2013/2014,0,2
Celtic,2013/2014,0,1
Dundee United,2013/2014,4,1
Ross County FC,2013/2014,1,0
Kilmarnock,2013/2014,3,0
Celtic,2013/2014,0,1
Motherwell,2013/2014,1,5
Dundee United,2013/2014,3,0
Heart of Midlothian,2013/2014,1,1
St. Mirren,2013/2014,1,0
Inverness Caledonian Thistle,2013/2014,0,1
Hibernian,2013/2014,1,0
St. Johnstone FC,2013/2014,0,0
Partick Thistle F.C.,2013/2014,1,3
Aberdeen,2013/2014,1,3
Partick Thistle F.C.,2013/2014,1,0
Aberdeen,2013/2014,1,2
Heart of Midlothian,2013/2014,2,1
Ross County FC,2013/2014,1,2
St. Mirren,2013/2014,2,1
St. Johnstone FC,2013/2014,4,0
Hibernian,2013/2014,2,2
Partick Thistle F.C.,2013/2014,0,2
Aberdeen,2013/2014,0,1
Inverness Caledonian Thistle,2013/2014,2,0
St. Johnstone FC,2013/2014,1,0
Celtic,2013/2014,0,4
Hibernian,2013/2014,1,0
Kilmarnock,2013/2014,4,0
Motherwell,2013/2014,0,1
Dundee United,2013/2014,1,1
Ross County FC,2013/2014,3,3
St. Mirren,2013/2014,2,0
Inverness Caledonian Thistle,2013/2014,0,1
Motherwell,2013/2014,3,0
St. Mirren,2013/2014,2,3
Kilmarnock,2013/2014,1,1
Dundee United,2013/2014,3,0
Heart of Midlothian,2013/2014,3,3
St. Johnstone FC,2013/2014,0,1
Celtic,2013/2014,0,4
Inverness Caledonian Thistle,2013/2014,2,0
Aberdeen,2013/2014,2,2
Heart of Midlothian,2013/2014,1,2
Partick Thistle F.C.,2013/2014,0,0
Celtic,2013/2014,2,1
St. Mirren,2013/2014,2,1
Hibernian,2013/2014,0,0
Ross County FC,2013/2014,2,2
Dundee United,2013/2014,1,1
Motherwell,2013/2014,3,0
St. Johnstone FC,2013/2014,3,0
Kilmarnock,2013/2014,3,2
Ross County FC,2013/2014,2,1
Heart of Midlothian,2013/2014,0,0
Partick Thistle F.C.,2013/2014,4,3
Aberdeen,2013/2014,0,1
Motherwell,2013/2014,3,1
Celtic,2013/2014,0,2
Hibernian,2013/2014,1,1
Aberdeen,2013/2014,3,1
St. Mirren,2013/2014,2,1
Inverness Caledonian Thistle,2013/2014,0,1
St. Johnstone FC,2013/2014,1,0
Inverness Caledonian Thistle,2013/2014,5,0
Dundee United,2013/2014,1,3
Heart of Midlothian,2013/2014,4,1
Partick Thistle F.C.,2013/2014,1,1
Kilmarnock,2013/2014,2,0
St. Mirren,2013/2014,3,2
Aberdeen,2013/2014,1,1
Motherwell,2013/2014,1,2
Celtic,2013/2014,0,3
Hibernian,2013/2014,3,1
Ross County FC,2013/2014,0,1
Celtic,2013/2014,0,2
Dundee United,2013/2014,1,1
Motherwell,2013/2014,2,0
Heart of Midlothian,2013/2014,1,1
Ross County FC,2013/2014,4,0
Kilmarnock,2013/2014,1,1
Kilmarnock,2013/2014,2,1
St. Mirren,2013/2014,3,0
Dundee United,2013/2014,1,2
Partick Thistle F.C.,2013/2014,1,0
Ross County FC,2013/2014,2,1
Hibernian,2013/2014,2,0
Inverness Caledonian Thistle,2013/2014,2,1
Motherwell,2013/2014,3,3
Heart of Midlothian,2013/2014,4,2
Celtic,2013/2014,1,5
Aberdeen,2013/2014,1,1
St. Johnstone FC,2013/2014,0,1
Dundee United,2013/2014,1,1
Ross County FC,2013/2014,1,1
Hibernian,2013/2014,2,0
St. Mirren,2013/2014,2,2
Kilmarnock,2013/2014,1,2
Partick Thistle F.C.,2013/2014,1,1
Celtic,2013/2014,0,2
Aberdeen,2013/2014,0,2
St. Johnstone FC,2013/2014,1,2
Heart of Midlothian,2013/2014,2,4
Inverness Caledonian Thistle,2013/2014,1,2
Motherwell,2013/2014,3,2
Aberdeen,2013/2014,0,0
Celtic,2013/2014,3,3
Ross County FC,2013/2014,2,0
Partick Thistle F.C.,2013/2014,1,2
Dundee United,2013/2014,2,0
Hibernian,2013/2014,2,0
St. Mirren,2013/2014,1,1
St. Johnstone FC,2013/2014,1,1
Motherwell,2013/2014,5,1
Kilmarnock,2013/2014,2,1
Heart of Midlothian,2013/2014,1,2
Inverness Caledonian Thistle,2013/2014,6,0
Aberdeen,2013/2014,5,2
Partick Thistle F.C.,2013/2014,1,1
Dundee United,2013/2014,1,1
St. Johnstone FC,2013/2014,2,1
Ross County FC,2013/2014,1,0
Kilmarnock,2013/2014,5,0
Aberdeen,2013/2014,1,3
Hibernian,2013/2014,1,0
Partick Thistle F.C.,2013/2014,2,4
St. Mirren,2013/2014,1,0
Inverness Caledonian Thistle,2013/2014,2,1
Celtic,2013/2014,3,3
Kilmarnock,2013/2014,0,1
Ross County FC,2013/2014,2,3
Heart of Midlothian,2013/2014,1,1
Motherwell,2013/2014,0,1
Dundee United,2013/2014,3,1
St. Johnstone FC,2013/2014,2,0
Inverness Caledonian Thistle,2013/2014,2,2
St. Johnstone FC,2013/2014,4,0
Aberdeen,2013/2014,2,1
Hibernian,2013/2014,1,2
Partick Thistle F.C.,2013/2014,1,0
St. Mirren,2013/2014,3,0
St. Johnstone FC,2013/2014,0,0
Celtic,2013/2014,0,1
Ross County FC,2013/2014,0,0
Heart of Midlothian,2013/2014,2,0
Kilmarnock,2013/2014,2,1
Partick Thistle F.C.,2013/2014,1,2
Celtic,2013/2014,1,3
Inverness Caledonian Thistle,2013/2014,1,2
Aberdeen,2013/2014,0,3
Dundee United,2013/2014,2,4
Hibernian,2013/2014,1,2
Motherwell,2013/2014,0,1
Inverness Caledonian Thistle,2013/2014,1,0
St. Johnstone FC,2013/2014,2,1
Motherwell,2013/2014,2,2
St. Mirren,2013/2014,2,0
Kilmarnock,2013/2014,1,1
Heart of Midlothian,2013/2014,2,1
Dundee United,2013/2014,0,0
Hibernian,2013/2014,3,0
Celtic,2013/2014,2,5
Ross County FC,2013/2014,3,1
Partick Thistle F.C.,2013/2014,1,1
Aberdeen,2013/2014,1,1
Motherwell,2013/2014,2,0
Kilmarnock,2013/2014,1,0
St. Mirren,2013/2014,0,2
Hibernian,2013/2014,0,1
Aberdeen,2013/2014,1,0
Inverness Caledonian Thistle,2013/2014,4,0
Dundee United,2014/2015,0,3
Partick Thistle F.C.,2014/2015,1,0
Kilmarnock,2014/2015,1,1
Inverness Caledonian Thistle,2014/2015,0,2
St. Mirren,2014/2015,1,0
St. Johnstone FC,2014/2015,1,2
Partick Thistle F.C.,2014/2015,1,0
Aberdeen,2014/2015,3,0
Dundee FC,2014/2015,1,3
Celtic,2014/2015,0,5
Kilmarnock,2014/2015,1,2
Inverness Caledonian Thistle,2014/2015,0,1
Motherwell,2014/2015,1,0
Kilmarnock,2014/2015,2,0
Hamilton Academical FC,2014/2015,2,0
Dundee United,2014/2015,1,0
St. Johnstone FC,2014/2015,0,0
Ross County FC,2014/2015,2,2
Inverness Caledonian Thistle,2014/2015,1,0
St. Mirren,2014/2015,3,0
Partick Thistle F.C.,2014/2015,3,3
Dundee FC,2014/2015,1,3
Aberdeen,2014/2015,0,1
Motherwell,2014/2015,2,1
Celtic,2014/2015,1,2
St. Johnstone FC,2014/2015,1,1
Hamilton Academical FC,2014/2015,4,2
Ross County FC,2014/2015,0,3
Dundee United,2014/2015,1,0
Partick Thistle F.C.,2014/2015,0,1
Dundee FC,2014/2015,2,1
Kilmarnock,2014/2015,3,1
St. Mirren,2014/2015,3,0
Motherwell,2014/2015,3,1
Aberdeen,2014/2015,0,1
Ross County FC,2014/2015,2,1
Hamilton Academical FC,2014/2015,3,0
Inverness Caledonian Thistle,2014/2015,1,2
Celtic,2014/2015,0,1
Kilmarnock,2014/2015,1,1
Dundee United,2014/2015,2,3
St. Johnstone FC,2014/2015,0,1
St. Mirren,2014/2015,4,1
Aberdeen,2014/2015,0,2
Dundee FC,2014/2015,2,1
Partick Thistle F.C.,2014/2015,0,4
St. Johnstone FC,2014/2015,0,1
Ross County FC,2014/2015,2,2
Kilmarnock,2014/2015,1,0
Celtic,2014/2015,2,1
Dundee FC,2014/2015,1,1
Hamilton Academical FC,2014/2015,0,1
Inverness Caledonian Thistle,2014/2015,1,0
Motherwell,2014/2015,0,1
Ross County FC,2014/2015,0,0
St. Mirren,2014/2015,1,3
Aberdeen,2014/2015,0,1
Hamilton Academical FC,2014/2015,1,0
Partick Thistle F.C.,2014/2015,1,0
Dundee United,2014/2015,2,1
St. Johnstone FC,2014/2015,2,0
Dundee FC,2014/2015,6,2
Motherwell,2014/2015,5,0
Celtic,2014/2015,0,3
Inverness Caledonian Thistle,2014/2015,1,3
Kilmarnock,2014/2015,1,2
Motherwell,2014/2015,1,0
Dundee FC,2014/2015,0,0
Aberdeen,2014/2015,0,2
Ross County FC,2014/2015,4,0
Celtic,2014/2015,0,3
Hamilton Academical FC,2014/2015,0,2
Ross County FC,2014/2015,1,1
St. Mirren,2014/2015,1,0
Celtic,2014/2015,0,2
Aberdeen,2014/2015,0,2
Dundee United,2014/2015,2,2
Hamilton Academical FC,2014/2015,0,1
St. Johnstone FC,2014/2015,0,1
Motherwell,2014/2015,4,1
Dundee United,2014/2015,2,3
Inverness Caledonian Thistle,2014/2015,1,2
Partick Thistle F.C.,2014/2015,1,0
Aberdeen,2014/2015,0,2
Dundee FC,2014/2015,3,3
Inverness Caledonian Thistle,2014/2015,1,1
Celtic,2014/2015,0,2
Kilmarnock,2014/2015,1,1
St. Mirren,2014/2015,1,2
Partick Thistle F.C.,2014/2015,2,0
Ross County FC,2014/2015,4,0
Motherwell,2014/2015,4,0
Kilmarnock,2014/2015,1,0
St. Johnstone FC,2014/2015,2,0
Hamilton Academical FC,2014/2015,5,0
Dundee United,2014/2015,1,1
Motherwell,2014/2015,3,1
Inverness Caledonian Thistle,2014/2015,0,2
Partick Thistle F.C.,2014/2015,2,2
Celtic,2014/2015,0,1
Aberdeen,2014/2015,1,1
Dundee FC,2014/2015,1,2
Dundee United,2014/2015,1,0
Kilmarnock,2014/2015,4,1
Hamilton Academical FC,2014/2015,1,1
Ross County FC,2014/2015,1,1
St. Johnstone FC,2014/2015,1,1
St. Mirren,2014/2015,0,1
Partick Thistle F.C.,2014/2015,1,0
Aberdeen,2014/2015,0,3
Dundee United,2014/2015,3,2
Motherwell,2014/2015,3,2
Celtic,2014/2015,1,2
Inverness Caledonian Thistle,2014/2015,1,2
St. Mirren,2014/2015,3,0
Hamilton Academical FC,2014/2015,4,0
St. Johnstone FC,2014/2015,0,2
Kilmarnock,2014/2015,3,3
Dundee FC,2014/2015,0,1
Ross County FC,2014/2015,1,3
Aberdeen,2014/2015,4,0
Partick Thistle F.C.,2014/2015,0,2
Inverness Caledonian Thistle,2014/2015,2,1
Dundee FC,2014/2015,1,0
Kilmarnock,2014/2015,0,0
Hamilton Academical FC,2014/2015,1,0
Motherwell,2014/2015,2,1
Celtic,2014/2015,1,2
Ross County FC,2014/2015,2,2
Dundee United,2014/2015,2,1
St. Mirren,2014/2015,1,0
St. Johnstone FC,2014/2015,3,0
St. Mirren,2014/2015,2,2
Dundee United,2014/2015,6,1
Partick Thistle F.C.,2014/2015,1,1
St. Johnstone FC,2014/2015,1,0
Inverness Caledonian Thistle,2014/2015,0,2
Kilmarnock,2014/2015,1,2
Dundee United,2014/2015,3,0
Aberdeen,2014/2015,1,1
Hamilton Academical FC,2014/2015,4,0
Inverness Caledonian Thistle,2014/2015,1,0
Kilmarnock,2014/2015,2,1
St. Mirren,2014/2015,2,0
Partick Thistle F.C.,2014/2015,0,0
Ross County FC,2014/2015,1,2
St. Johnstone FC,2014/2015,1,1
Dundee FC,2014/2015,1,1
Motherwell,2014/2015,1,2
Celtic,2014/2015,0,2
Inverness Caledonian Thistle,2014/2015,1,0
Dundee United,2014/2015,3,1
Kilmarnock,2014/2015,0,0
St. Mirren,2014/2015,5,0
St. Johnstone FC,2014/2015,1,0
Partick Thistle F.C.,2014/2015,2,0
Hamilton Academical FC,2014/2015,1,0
Celtic,2014/2015,1,1
Aberdeen,2014/2015,1,2
Motherwell,2014/2015,2,0
Dundee FC,2014/2015,1,0
Ross County FC,2014/2015,0,3
Motherwell,2014/2015,2,0
St. Johnstone FC,2014/2015,0,2
Aberdeen,2014/2015,1,2
Partick Thistle F.C.,2014/2015,1,2
Kilmarnock,2014/2015,4,1
Celtic,2014/2015,0,3
Dundee FC,2014/2015,5,0
Aberdeen,2014/2015,1,0
Hamilton Academical FC,2014/2015,2,3
Ross County FC,2014/2015,1,1
St. Mirren,2014/2015,3,0
Inverness Caledonian Thistle,2014/2015,1,1
Kilmarnock,2014/2015,3,1
Inverness Caledonian Thistle,2014/2015,0,1
Partick Thistle F.C.,2014/2015,1,1
St. Mirren,2014/2015,1,2
Dundee United,2014/2015,1,1
Celtic,2014/2015,0,1
Celtic,2014/2015,0,0
Aberdeen,2014/2015,1,1
Kilmarnock,2014/2015,1,4
Hamilton Academical FC,2014/2015,2,1
Motherwell,2014/2015,2,1
Dundee United,2014/2015,3,0
St. Mirren,2014/2015,1,0
Ross County FC,2014/2015,1,2
Partick Thistle F.C.,2014/2015,0,0
St. Johnstone FC,2014/2015,0,1
Inverness Caledonian Thistle,2014/2015,5,0
Dundee FC,2014/2015,3,0
Ross County FC,2014/2015,2,1
Celtic,2014/2015,1,0
Motherwell,2014/2015,2,0
Hamilton Academical FC,2014/2015,1,2
Aberdeen,2014/2015,1,0
Dundee FC,2014/2015,0,1
Partick Thistle F.C.,2014/2015,2,0
Celtic,2014/2015,1,1
Ross County FC,2014/2015,4,0
Kilmarnock,2014/2015,2,0
St. Johnstone FC,2014/2015,0,1
Dundee United,2014/2015,0,3
Aberdeen,2014/2015,2,1
Hamilton Academical FC,2014/2015,2,2
St. Mirren,2014/2015,2,1
Inverness Caledonian Thistle,2014/2015,3,1
Motherwell,2014/2015,1,2
Dundee FC,2014/2015,0,1
Ross County FC,2014/2015,3,0
Motherwell,2014/2015,1,1
Dundee United,2014/2015,1,4
Kilmarnock,2014/2015,0,0
St. Johnstone FC,2014/2015,2,1
St. Mirren,2014/2015,1,2
Inverness Caledonian Thistle,2014/2015,3,2
St. Johnstone FC,2014/2015,2,0
Partick Thistle F.C.,2014/2015,3,0
Hamilton Academical FC,2014/2015,0,4
Dundee FC,2014/2015,2,1
Celtic,2014/2015,1,2
Hamilton Academical FC,2014/2015,0,1
Aberdeen,2014/2015,2,3
Ross County FC,2014/2015,1,1
